11/14/16,0.32,0.55,0.65,0.77,1,1.27,1.66,2.01,2.23,2.65,2.99
11/10/16,0.3,0.48,0.59,0.72,0.92,1.17,1.56,1.92,2.15,2.58,2.94
11/9/16,0.3,0.45,0.56,0.72,0.9,1.12,1.49,1.84,2.07,2.52,2.88
11/8/16,0.28,0.43,0.56,0.71,0.87,1.04,1.34,1.65,1.88,2.29,2.63
11/7/16,0.28,0.41,0.54,0.63,0.82,0.99,1.29,1.6,1.83,2.26,2.6
11/4/16,0.25,0.38,0.52,0.62,0.8,0.95,1.24,1.55,1.79,2.22,2.56
11/3/16,0.24,0.38,0.52,0.64,0.81,0.98,1.26,1.58,1.82,2.25,2.6
11/2/16,0.24,0.37,0.51,0.64,0.81,0.98,1.26,1.57,1.81,2.22,2.56
11/1/16,0.24,0.35,0.5,0.65,0.83,0.99,1.3,1.61,1.83,2.24,2.58
10/31/16,0.2,0.34,0.51,0.66,0.86,1,1.31,1.62,1.84,2.25,2.58
10/28/16,0.18,0.3,0.49,0.66,0.86,1.02,1.33,1.63,1.86,2.27,2.62
10/27/16,0.19,0.3,0.49,0.68,0.87,1.04,1.33,1.64,1.85,2.26,2.6
10/26/16,0.25,0.33,0.49,0.67,0.86,1.01,1.3,1.59,1.79,2.2,2.53
10/25/16,0.22,0.34,0.49,0.66,0.86,1,1.29,1.56,1.77,2.17,2.5
10/24/16,0.23,0.33,0.46,0.66,0.84,1,1.27,1.56,1.77,2.18,2.52
10/21/16,0.25,0.34,0.47,0.66,0.84,0.98,1.25,1.53,1.74,2.15,2.48
10/20/16,0.25,0.35,0.48,0.66,0.84,0.98,1.26,1.55,1.76,2.17,2.5
10/19/16,0.25,0.35,0.48,0.65,0.81,0.96,1.24,1.54,1.76,2.18,2.51
10/18/16,0.26,0.34,0.47,0.66,0.82,0.96,1.24,1.54,1.75,2.18,2.51
10/17/16,0.24,0.34,0.47,0.65,0.81,0.98,1.26,1.56,1.77,2.19,2.52
10/14/16,0.26,0.32,0.46,0.66,0.84,1,1.28,1.58,1.8,2.22,2.55
10/13/16,0.26,0.3,0.45,0.66,0.85,1,1.27,1.56,1.75,2.15,2.48
10/12/16,0.26,0.37,0.49,0.68,0.87,0.99,1.31,1.6,1.79,2.19,2.51
10/11/16,0.27,0.35,0.48,0.69,0.87,1.03,1.3,1.58,1.77,2.17,2.5
10/7/16,0.26,0.33,0.46,0.66,0.83,0.99,1.26,1.55,1.73,2.14,2.46
10/6/16,0.26,0.33,0.46,0.65,0.86,1,1.28,1.58,1.75,2.14,2.46
10/5/16,0.26,0.32,0.48,0.65,0.85,0.98,1.26,1.54,1.72,2.11,2.44
10/4/16,0.28,0.33,0.48,0.64,0.82,0.95,1.22,1.51,1.69,2.08,2.4
10/3/16,0.25,0.32,0.48,0.63,0.8,0.91,1.18,1.46,1.63,2.01,2.34
9/30/16,0.2,0.29,0.45,0.59,0.77,0.88,1.14,1.42,1.6,1.99,2.32
9/29/16,0.12,0.26,0.43,0.59,0.73,0.85,1.12,1.39,1.56,1.95,2.28
9/28/16,0.14,0.27,0.44,0.6,0.75,0.87,1.13,1.41,1.57,1.96,2.29
9/27/16,0.16,0.26,0.42,0.58,0.75,0.86,1.12,1.39,1.56,1.96,2.28
9/26/16,0.12,0.25,0.42,0.58,0.76,0.87,1.13,1.41,1.59,2,2.32
9/23/16,0.09,0.18,0.4,0.6,0.77,0.9,1.16,1.44,1.62,2.02,2.34
9/22/16,0.1,0.18,0.39,0.6,0.79,0.91,1.18,1.46,1.63,2.02,2.34
9/21/16,0.12,0.22,0.44,0.61,0.79,0.92,1.2,1.48,1.66,2.06,2.39
9/20/16,0.17,0.3,0.49,0.61,0.79,0.93,1.2,1.5,1.69,2.09,2.43
9/19/16,0.16,0.3,0.48,0.6,0.79,0.92,1.22,1.52,1.7,2.1,2.45
9/16/16,0.2,0.3,0.5,0.61,0.77,0.91,1.21,1.51,1.7,2.1,2.44
9/15/16,0.2,0.29,0.49,0.6,0.74,0.87,1.2,1.51,1.71,2.13,2.48
9/14/16,0.24,0.33,0.52,0.62,0.77,0.9,1.21,1.52,1.7,2.1,2.44
9/13/16,0.25,0.36,0.54,0.63,0.8,0.95,1.26,1.56,1.73,2.12,2.47
9/12/16,0.24,0.37,0.53,0.57,0.79,0.92,1.21,1.5,1.68,2.05,2.4
9/9/16,0.24,0.35,0.51,0.58,0.79,0.93,1.23,1.51,1.67,2.05,2.39
9/8/16,0.26,0.35,0.5,0.57,0.78,0.91,1.19,1.46,1.61,1.98,2.32
9/7/16,0.25,0.34,0.49,0.57,0.74,0.86,1.12,1.39,1.54,1.89,2.23
9/6/16,0.24,0.32,0.45,0.56,0.74,0.86,1.13,1.4,1.55,1.9,2.24
9/2/16,0.25,0.33,0.45,0.59,0.8,0.92,1.2,1.47,1.6,1.95,2.28
9/1/16,0.27,0.33,0.47,0.6,0.78,0.91,1.18,1.44,1.57,1.9,2.23
8/31/16,0.26,0.33,0.47,0.61,0.8,0.92,1.19,1.45,1.58,1.9,2.23
8/30/16,0.23,0.33,0.47,0.61,0.8,0.92,1.18,1.44,1.57,1.91,2.23
8/29/16,0.25,0.33,0.49,0.62,0.81,0.92,1.18,1.43,1.57,1.9,2.22
8/26/16,0.28,0.34,0.47,0.62,0.84,0.96,1.23,1.49,1.62,1.96,2.29
8/25/16,0.28,0.33,0.46,0.6,0.78,0.89,1.16,1.43,1.58,1.91,2.27
8/24/16,0.28,0.31,0.46,0.59,0.76,0.87,1.13,1.4,1.56,1.89,2.24
8/23/16,0.28,0.3,0.45,0.58,0.74,0.86,1.15,1.4,1.55,1.88,2.24
8/22/16,0.24,0.29,0.45,0.58,0.76,0.86,1.15,1.4,1.55,1.88,2.24
8/19/16,0.27,0.3,0.44,0.59,0.76,0.88,1.17,1.43,1.58,1.93,2.29
8/18/16,0.27,0.3,0.44,0.58,0.71,0.81,1.12,1.38,1.53,1.89,2.26
8/17/16,0.27,0.3,0.46,0.58,0.74,0.86,1.15,1.41,1.56,1.9,2.27
8/16/16,0.27,0.27,0.45,0.57,0.76,0.87,1.16,1.42,1.57,1.92,2.29
8/15/16,0.26,0.31,0.46,0.56,0.72,0.85,1.14,1.4,1.55,1.9,2.27
